Country Name,Year,Fixed broadband subscriptions,Fixed telephone subscriptions,GDP,Individuals using the Internet,Unemployment
Cayman Islands,2012,0.3398698558,37392.0,4291004485.5680346,0.6970000000000001,
Cyprus,2012,0.2547407322,373196.0,25047433100.13009,0.606898684,0.12097
Czechia,2012,0.2527793571,2117400.0,208857719320.6487,0.7343000782,0.06979
Germany,2012,0.3428353216,50100000.0,3527143188785.157,0.8234999847000001,0.05379
Djibouti,2012,0.01562093942,19955.0,1353632941.520698,0.094,0.26252
Dominica,2012,0.1233886889,16237.0,485996296.29629624,0.498,
Denmark,2012,0.389137755,2299308.0,327148943812.1366,0.9226001171999999,0.07798
Dominican Republic,2012,0.04821360674,1128947.0,60681535652.537346,0.4232,0.06722
Algeria,2012,0.030991158959999997,3289363.0,227143746075.93402,0.182,0.1097
East Asia & Pacific (excluding high income),2012,0.0994169647403301,343365859.0,10759908112897.982,0.3569168643402494,0.04048577557042894
Early-demographic dividend,2012,0.023214490371085156,212120848.0,10261753916720.639,0.17074584937315151,0.06879111664756493
East Asia & Pacific,2012,0.12130252602561108,472891336.0,21174178691967.797,0.4040392417999147,0.04054692595690491
Europe & Central Asia (excluding high income),2012,0.08839199923024925,47832875.0,1652506728905.0164,0.394922413526567,0.08504041020152825
Europe & Central Asia,2012,0.2152189484940942,318998752.0,22453705241187.86,0.6387281052313356,0.09009035557654654
Ecuador,2012,0.05448917432,2308672.0,87735048000.0,0.3513514645,0.03235
"Egypt, Arab Rep.",2012,0.025085089520000003,8557497.0,279116666666.6667,0.264,0.12597
Euro area,2012,0.3009735939303102,165269676.0,12695678622498.623,0.7394001684125066,0.11418597851704883
Eritrea,2012,5.6877639999999995e-05,60090.0,,0.008,0.05649
Spain,2012,0.24648222239999998,19574626.0,1324750738725.0002,0.6980999994,0.24788
Estonia,2012,0.2642411403,448212.0,23019150071.186726,0.7838992593,0.10021000000000001
Ethiopia,2012,9.036405000000001e-05,797501.0,43310721414.08288,0.028999999999999998,0.02255
European Union,2012,0.28151468572056565,189549901.0,14641634844097.45,0.7182858796165309,0.10867696101801969
Fragile and conflict affected situations,2012,0.010730702661094115,33371231.0,1861813804786.7686,0.11788677059584447,0.053373682651230096
Finland,2012,0.3043301099,889500.0,258290060227.73444,0.8987999797,0.07689
Fiji,2012,0.01483548266,88417.0,3972028104.4732842,0.33742356749999997,0.04375
France,2012,0.38020392630000005,39710000.0,2683671716967.188,0.8144,0.09841
Faroe Islands,2012,0.33732848400000004,18685.0,2427200388.918314,0.8533518924000001,
"Micronesia, Fed. Sts.",2012,,8400.0,327248700.0,0.25974423,
Gabon,2012,0.00272226623,22611.0,17170464016.059284,0.24,0.19713
United Kingdom,2012,0.3398542648,33197391.0,2707089726614.636,0.8747999842,0.07885
Georgia,2012,0.12171626420000001,1275850.0,16894392033.225578,0.36939999999999995,0.19652999999999998
Ghana,2012,0.00253667686,284981.0,41271701060.95403,0.106,0.03141
Gibraltar,2012,0.3724813433,23108.0,,0.6501699999999999,
Guinea,2012,6.488275e-05,0.0,7638045226.044156,0.031,0.04891
"Gambia, The",2012,0.00024259903,64196.0,1415004738.2662053,0.12449228720000001,0.10346
Guinea-Bissau,2012,0.00072789231,0.0,1049412177.0757296,0.028939906209999998,0.03207
Equatorial Guinea,2012,0.00123990898,14868.0,22388344143.913067,0.1394318219,0.08116
Greece,2012,0.245304431,5461193.0,242029307133.40787,0.5506999344,0.24731000000000003
Grenada,2012,0.1380357513,27727.0,799881481.4814814,0.32,
Greenland,2012,0.20249470630000002,18910.0,2609678486.367488,0.648960101,
Guatemala,2012,0.01852831375,1743842.0,49593929487.1263,0.16,0.02765
Guam,2012,,67000.0,5265000000.0,0.6153415931,0.122
Guyana,2012,0.04029888463,154207.0,4063088535.7633057,0.305,0.12231
High income,2012,0.2664431722799466,575708886.0,51710003724530.77,0.7372817972907675,0.07734505067840967
"Hong Kong SAR, China",2012,0.3117252276,4381555.0,262628865879.69678,0.7290000000000001,0.032850000000000004
Honduras,2012,0.00696934136,610506.0,18528554397.56951,0.1812,0.03755
Heavily indebted poor countries (HIPC),2012,0.0015419263238324302,7037704.0,583888328733.1459,0.049657287250307464,0.04585374696387346
Croatia,2012,0.212213333,1743540.0,57411354937.680756,0.6193997315,0.15935
Haiti,2012,0.0,50000.0,13708925477.130407,0.098,0.141
Hungary,2012,0.2414840084,2960633.0,128814279315.1317,0.7057999814999999,0.11003
IBRD only,2012,0.07176020214418624,634358740.0,25304734948065.89,0.31577786716690204,0.06263980064999082
IDA & IBRD total,2012,0.055969059005709906,663032541.0,27188545719649.594,0.25959223576938534,0.058913875353480166
IDA total,2012,0.003360742690347541,28673801.0,1883810771583.7258,0.07918718194507847,0.044382296516075774
IDA blend,2012,0.0040487514594291655,10037515.0,941695867218.5646,0.12102489568974409,0.03960817328434658
Indonesia,2012,0.011921380669999999,37982855.0,917869913332.6486,0.1452,0.04468
IDA only,2012,0.002960139716461991,18636286.0,942114904365.161,0.05645836878093971,0.046585216423626875
Isle of Man,2012,,,6690228371.669086,,
India,2012,0.01175545571,30940618.0,1827637590410.9526,0.111,0.08156000000000001
Not classified,2012,,,,,
Ireland,2012,0.2436345313,2007746.0,225118718207.1563,0.7691999253999999,0.15451
"Iran, Islamic Rep.",2012,0.049191322419999996,28758465.0,644035512181.4827,0.2273,0.12275
Iraq,2012,,1871000.0,218002476129.47165,0.071,0.07965
Iceland,2012,0.3533564501,180004.0,14751508133.544277,0.9620979955,0.06
Israel,2012,0.2551334241,3594000.0,262282344091.84918,0.708,0.06762
Italy,2012,0.22866470530000002,21748814.0,2086957656821.602,0.5582999799,0.10654999999999999
Jamaica,2012,0.04458484023,253143.0,14807086555.528315,0.3379,0.08695
Jordan,2012,0.04163889414,434437.0,31634561690.140846,0.37,0.122
Japan,2012,0.282607452,64225254.0,6272362996105.034,0.7949639999999999,0.043579999999999994
Kazakhstan,2012,0.09573250421999999,4361400.0,207998568865.78925,0.6190662747,0.0529
Kenya,2012,0.00124292735,251567.0,56396704671.57766,0.105,0.02686
Kyrgyz Republic,2012,0.00969717416,488853.0,6605142884.362147,0.198,0.030699999999999998
Cambodia,2012,0.00201086927,584475.0,14054443213.488718,0.049400000000000006,0.00496
Kiribati,2012,0.007167302760000001,8000.0,207081997.22303042,0.1074679768,
St. Kitts and Nevis,2012,0.2723825089,20000.0,825381481.4814814,0.64,
"Korea, Rep.",2012,0.3677437436,30099175.0,1278046536287.0134,0.8406999999999999,0.02812
Kuwait,2012,0.0138452624,510000.0,174047695598.6865,0.7045,0.02234
Latin America & Caribbean (excluding high income),2012,0.08432339219836597,95998593.0,5297857656983.353,0.422111392668873,0.06377117512413621
Lao PDR,2012,0.0011642692,450000.0,10192846339.40287,0.1074767619,0.01398
Lebanon,2012,0.09195712832,867000.0,44016799515.75456,0.6124978571999999,0.0791
Liberia,2012,0.00012096756000000001,13734.0,2791614000.0,0.026000000000000002,0.02138
Libya,2012,0.011465330579999999,814000.0,92540938129.13145,0.152,0.19030000000000002
St. Lucia,2012,0.14193872600000002,36842.0,1598207407.4074073,0.45865,0.1906
Latin America & Caribbean,2012,0.08596391550920211,110152512.0,6209024743500.109,0.43199846762630983,0.06427723902972111
Least developed countries: UN classification,2012,0.0020448798317912855,8535725.0,819266433465.481,0.04658948212417953,0.04867657252021454
Low income,2012,0.0015478734166920747,9415454.0,381701640886.4106,0.04747373572608181,0.0496968549124601
Liechtenstein,2012,0.3949156257,18470.0,5456102482.286143,0.894077,
Sri Lanka,2012,0.01684338983,3449391.0,70447216891.33658,,0.0388
Lower middle income,2012,0.011809749862403811,79724881.0,4456528170120.237,0.13606393797278812,0.06384533841174203
Low & middle income,2012,0.051587010127540495,595989524.0,23512181553245.625,0.24218263222053804,0.058326960909349135
Lesotho,2012,0.00079621632,50769.0,2477702216.268875,0.1,0.15733
Late-demographic dividend,2012,0.1175732558964846,441674711.0,17680657970635.27,0.4508610097408103,0.05012490856869532
Lithuania,2012,0.2509877288,675394.0,42927454291.478,0.6722998933,0.13365
Luxembourg,2012,0.3198356531,266700.0,59776383527.36017,0.9194992374000001,0.051399999999999994
Latvia,2012,0.23185267499999998,476141.0,28169902669.378365,0.7311994377000001,0.15047
"Macao SAR, China",2012,0.2481201717,162533.0,43189721376.98464,0.6131,0.0197
St. Martin (French part),2012,,,,,
Morocco,2012,0.0207431284,3279054.0,106937392311.12907,0.5541605319,0.08990000000000001
Monaco,2012,0.46853025940000004,45743.0,5742749294.008515,0.87,
Moldova,2012,0.1193316817,1205768.0,8709138634.82921,0.3465,0.0219
Madagascar,2012,0.0013531601200000001,143227.0,11578975061.947945,0.023,0.00599
Maldives,2012,0.04659918099,23140.0,2886163997.205307,0.389301,0.09142
Middle East & North Africa,2012,0.042433786937899606,66843009.0,3660136638354.701,0.31213209809802056,0.10441588384914649
Mexico,2012,0.11297285909999999,20587800.0,1255110424817.7866,0.3975,0.048920000000000005
Marshall Islands,2012,,,180302078.24707,0.125,
Middle income,2012,0.05583004130592723,586574070.0,23131481309284.9,0.2606117263858837,0.0590709729851792
North Macedonia,2012,0.1487379244,408318.0,9745261300.577883,0.5744994730999999,0.31096
Mali,2012,0.00026158534,111979.0,12442035339.104927,0.027999999999999997,0.0149
Malta,2012,0.3157845767,229740.0,9461776291.799128,0.6819987429,0.06203
Myanmar,2012,,524225.0,59937796648.21576,0.013999999999999999,0.0074199999999999995
Middle East & North Africa (excluding high income),2012,0.030752758518715617,54741591.0,1782893176788.2056,0.2599179228147739,0.12021665802024462
Montenegro,2012,0.1386428582,169803.0,4087526241.812683,0.5683878255,0.19808
Mongolia,2012,0.03945244667,176706.0,12292770631.564991,0.16399999999999998,0.03905
Northern Mariana Islands,2012,,23000.0,746000000.0,,
Mozambique,2012,0.00120215892,88140.0,16688114144.074518,0.05,0.03305
Mauritania,2012,0.0018418014399999999,65069.0,6728208836.221428,0.05,0.09865
Mauritius,2012,0.1092535762,349100.0,11668696396.788656,0.3542,0.07472000000000001
Malawi,2012,7.945447e-05,227295.0,8773203178.16512,0.043506,0.04951
Malaysia,2012,0.09847872969,4588900.0,314443047642.11096,0.6579999999999999,0.031
North America,2012,0.29658725225103866,156390000.0,18088714669521.594,0.7552240205059714,0.07995439224523758
Namibia,2012,0.01109727009,171249.0,13042053591.685684,0.129414,0.16771
New Caledonia,2012,0.1765560151,80000.0,9659151917.404844,0.58,0.14053000000000002
Niger,2012,0.00020435094000000002,100537.0,9426912647.591106,0.0105,0.02177
Nigeria,2012,8.395662e-05,418166.0,463971018239.2805,0.161,0.037599999999999995
Nicaragua,2012,0.01679963559,299123.0,10531964139.348614,0.135,0.05208
Netherlands,2012,0.3964183182,7182000.0,838923319919.5315,0.9285999236000001,0.05821
Norway,2012,0.3701341447,1396016.0,512777309840.997,0.9464997805,0.03123
Nepal,2012,0.00843805869,831703.0,21703100877.13089,0.11149300000000001,0.10654
Nauru,2012,,0.0,101055722.95057963,,
New Zealand,2012,0.2884168004,1880000.0,176210710655.20847,0.8164447018,0.06931
OECD members,2012,0.2599960397604422,532307534.0,48676834813345.9,0.7019318820861052,0.08085400068979158
Oman,2012,0.03239652959,304545.0,87408842652.79582,0.6,0.03727
Other small states,2012,0.11823093687817834,2380972.0,155912881125.31052,0.4289359665620186,0.093646306824871
Pakistan,2012,0.007501310759999999,5861915.0,250106966104.70358,0.081,0.03667
Panama,2012,0.0784952949,569880.0,40429700000.0,0.4030189522,0.03717
Peru,2012,0.04849761118,3415478.0,192650021648.5832,0.382,0.03238
Philippines,2012,0.02189686081,3493164.0,261920540972.1021,0.308,0.03504
Palau,2012,0.050039005909999996,7325.0,215762390.13671902,,
Papua New Guinea,2012,0.00114619678,139000.0,21295168665.724728,0.035,0.026269999999999998
Poland,2012,0.1783176738,5950896.0,495230523665.9008,0.6230999727,0.10088
Pre-demographic dividend,2012,0.0009036949163555885,6675713.0,1319408228653.5837,0.07322118298257237,0.051809932741276585
Puerto Rico,2012,0.1567049974,706274.0,101564800000.0,0.689999826,0.145
"Korea, Dem. People's Rep.",2012,,1180000.0,,0.0,0.0292
Portugal,2012,0.22721521190000002,4558075.0,216224240577.95746,0.6033999749,0.15531
Paraguay,2012,0.02298575023,410988.0,33271921136.314976,0.2934,0.04086
West Bank and Gaza,2012,0.04394124538,393880.0,12208400000.0,0.434,0.19202000000000002
Pacific island small states,2012,0.009481348687219636,164770.0,8219726546.103479,0.20688019320978224,0.035757770470143335
Post-demographic dividend,2012,0.2890336191937001,502424127.0,45779692961073.234,0.7420812425774652,0.0808177598959486
French Polynesia,2012,0.140273009,62549.0,5692858099.002168,0.5287663059,0.12146000000000001
Qatar,2012,0.09714587072,394407.0,186833502362.63736,0.693,0.0048
Romania,2012,0.1758613124,4650000.0,179132893143.41733,0.4587999425,0.06794
Russian Federation,2012,0.1453068301,42168388.0,2208293553878.4243,0.66,0.05436
Rwanda,2012,0.00050717994,44363.0,7654762344.677663,0.08023854277,0.11720000000000001
South Asia,2012,0.010370645053612928,42185378.0,2327938845782.6187,0.10098044499393823,0.07279204111336866
Saudi Arabia,2012,0.0824147902,4801824.0,741849866666.6666,0.54,0.05622
Sudan,2012,0.0007050383000000001,424586.0,37632919966.666664,,0.17068000000000003
Senegal,2012,0.00722205306,340019.0,17660870411.523518,0.10800000000000001,0.03887
Singapore,2012,0.2662700121,1987600.0,295092888076.5895,0.72,0.037200000000000004
Solomon Islands,2012,0.00375508795,8060.0,1185215418.2556212,0.069974,0.00987
Sierra Leone,2012,,18000.0,3789251613.360656,0.025,0.045599999999999995
El Salvador,2012,0.03929372571,1059000.0,21386150000.0,0.2032138772,0.03843
San Marino,2012,0.2988651455,18700.0,1604701051.1653028,,
Somalia,2012,0.0032153498200000004,70000.0,4041702388.866335,0.013767,0.19078
Serbia,2012,0.14810524889999999,2976849.0,43309252921.05673,0.48100000000000004,0.24
Sub-Saharan Africa (excluding high income),2012,0.002449006975860367,11865228.0,1689385832315.5532,0.09280810235362097,0.05841356033420648
South Sudan,2012,1.58855e-06,150.0,11931472169.491526,,0.12754
Sub-Saharan Africa,2012,0.0024611532951025255,11886176.0,1690475240154.7495,0.09284887420076768,0.058413560334206506
Small states,2012,0.10231812520849576,3243515.0,196184993723.7082,0.4010759519034171,0.09100661897718178
Sao Tome and Principe,2012,0.00409637539,8035.0,229371348.20260647,0.21572399999999997,0.1359
Suriname,2012,0.052441275020000004,86449.0,4980000000.0,0.34681199999999995,0.081
Slovak Republic,2012,0.19327700180000001,974762.0,94623731085.61057,0.7670999012,0.13966
Slovenia,2012,0.2461328511,835255.0,46577793184.003136,0.6834997453,0.08852
Sweden,2012,0.3215967121,4169083.0,552483727282.8025,0.9317998801,0.07976
Eswatini,2012,0.00308517568,45565.0,4886551483.93374,0.20781782580000002,0.25117999999999996
Sint Maarten (Dutch part),2012,,,985865921.7877095,,
Seychelles,2012,0.1109758785,20948.0,1089407839.1970947,0.47076,
Syrian Arab Republic,2012,0.01071213533,4254047.0,43190317724.70877,0.243001,0.138
Turks and Caicos Islands,2012,,3700.0,727161000.0,,
Chad,2012,0.00152521704,27937.0,12367362757.134161,0.021,0.00893
East Asia & Pacific (IDA & IBRD countries),2012,0.0994165075843194,342193184.0,10746721177079.78,0.36138346772407104,0.04063777887768746
Europe & Central Asia (IDA & IBRD countries),2012,0.12115433804730324,104478604.0,4646863189589.231,0.5072256692608531,0.07570320125950807
Togo,2012,0.00599035549,61590.0,5413544658.504504,0.04,0.02028
Thailand,2012,0.06534405045,6377000.0,397558325278.5791,0.2646,0.0058
Tajikistan,2012,0.00067870044,393000.0,7633036903.076341,0.1451,0.09519
Turkmenistan,2012,0.00025647217,575000.0,35164210526.31579,0.07195800000000001,0.03997
Latin America & the Caribbean (IDA & IBRD countries),2012,0.08702453863442575,107941488.0,6005862490255.015,0.43437231219387507,0.06442018602443994
Timor-Leste,2012,0.0005273909300000001,3000.0,1160555000.0,0.07,0.03767
Middle East & North Africa (IDA & IBRD countries),2012,0.030577004308724093,54347711.0,1770684776788.2053,0.2578211373957354,0.1195601104013474
Tonga,2012,0.01395322878,30000.0,470705196.4326592,0.3,0.01647
South Asia (IDA & IBRD),2012,0.010370645053612928,42185378.0,2327938845782.6187,0.10098044499393823,0.07279204111336866
Sub-Saharan Africa (IDA & IBRD countries),2012,0.002461153295102525,11886176.0,1690475240154.7498,0.09284887420076769,0.0584135603342065
Trinidad and Tobago,2012,0.1408090315,286605.0,27334581560.283688,0.575,0.03718
Tunisia,2012,0.047189003630000004,1098893.0,47311401812.67335,0.414416,0.17629999999999998
Turkiye,2012,0.1045328867,13859672.0,880555885492.2687,0.45130000000000003,0.09210000000000002
Tuvalu,2012,0.04145936982,1450.0,39345579.47237578,0.187,
Tanzania,2012,0.00086479056,176367.0,39650394362.92873,0.0395,0.03223
Uganda,2012,0.00112040584,314956.0,27305915910.78771,0.048,0.03551
Ukraine,2012,0.08037551512,12182142.0,182591753827.94882,0.3527,0.07529
Upper middle income,2012,0.09922326043903018,506849189.0,18674953139164.66,0.3831901001753449,0.055578256256892444
Uruguay,2012,0.1722474314,1010953.0,54232266358.781075,0.5445376868,0.06451
United States,2012,0.2921636319,138595000.0,16253970000000.0,0.747,0.08069000000000001
Uzbekistan,2012,0.007476345410000001,1980038.0,67517349212.06092,0.23600000000000002,0.0487
St. Vincent and the Grenadines,2012,0.1259772582,19379.0,730032592.5925926,0.4,0.19846
"Venezuela, RB",2012,0.06911026668,7648753.0,381286237847.6675,0.4905008307,0.06601
British Virgin Islands,2012,0.2616023363,12268.0,,0.376,
Virgin Islands (U.S.),2012,,,4089000000.0,0.405479,0.1184
Viet Nam,2012,0.05347477147,9556089.0,195590661129.24908,0.368,0.01027
Vanuatu,2012,0.00120475841,4848.0,747839697.7465929,0.10598,0.04949
World,2012,0.09311513014646809,1179347163.0,75603976718162.8,0.337133614270398,0.062282727979959526
Samoa,2012,0.00547132099,8270.0,773141661.1655476,0.1292249,0.08752
Kosovo,2012,,,6163484244.63408,,
"Yemen, Rep.",2012,0.00637980039,1104000.0,35401331609.59164,0.174465,0.1344
South Africa,2012,0.0208335556,4847000.0,434400545085.8111,0.41,0.21786000000000003
Zambia,2012,0.00101724977,82542.0,25503060420.026028,0.040999999999999995,0.0785
Zimbabwe,2012,0.005420520599999999,301650.0,17114849900.000002,0.12,0.050570000000000004
Aruba,2013,0.1866251944,35000.0,2727849720.670391,0.789,
Africa Eastern and Southern,2013,0.004529109080347068,7647879.0,963347276805.0762,0.10126945465522558,0.06830908035102959
Afghanistan,2013,4.755683e-05,95769.0,20146416757.598675,0.059000000000000004,0.07919
Africa Western and Central,2013,0.001064001999679779,2925394.0,834160608935.9955,0.12577755795149312,0.037138994098341115
Angola,2013,0.0008521818300000001,214950.0,132339109040.23174,0.13,0.16487
Albania,2013,0.06323350008,281200.0,12776224496.97176,0.518,0.15866
Andorra,2013,0.38861642799999996,38572.0,3193512950.024186,0.8440000000000001,
Arab World,2013,0.027554208917248482,32979245.0,2857872049304.9116,0.3391013169774641,0.10900063190187502
United Arab Emirates,2013,0.1190530274,2086015.0,400218529748.128,0.88,0.020739999999999998
Argentina,2013,0.1474705183,9662084.0,552025140252.2463,0.599,0.071
Armenia,2013,0.08377312345,578450.0,11121464437.04153,0.419,0.11948
American Samoa,2013,,10000.0,638000000.0,,
Antigua and Barbuda,2013,0.17680825339999998,33133.0,1325425925.9259257,0.634,
Australia,2013,0.258785757,10350000.0,1577301840200.0142,0.8345349717,0.05663
Austria,2013,0.2632808222,3334000.0,430190979705.962,0.8061879999999999,0.05367
Azerbaijan,2013,0.1780831991,1757855.0,74160560123.69016,0.7300000137000001,0.049699999999999994
Burundi,2013,0.00015113929,21253.0,2451606632.292456,0.01264218111,0.01584
Belgium,2013,0.34484638160000003,4586500.0,521791015247.0603,0.8217019999999999,0.08425
Benin,2013,0.0041204881700000005,159443.0,12517845123.931498,0.049,0.02113
Burkina Faso,2013,0.00073495691,137421.0,13444300485.841228,0.05,0.040549999999999996
Bangladesh,2013,0.009902769740000001,1082348.0,149998957327.0292,0.0663,0.04426
Bulgaria,2013,0.1912959297,1942424.0,55852123989.95043,0.5306150000000001,0.12941
Bahrain,2013,0.2378239052,291499.0,32539468085.106384,0.900000397,0.011819999999999999
"Bahamas, The",2013,0.18796836509999998,136000.0,10395800000.0,0.72,0.1618
Bosnia and Herzegovina,2013,0.14266640649999998,891622.0,18179108530.526096,0.48521314169999996,0.2749
Belarus,2013,0.2874628939,4468600.0,75527558966.44727,0.5417000000000001,0.05946
Belize,2013,0.02872162651,24051.0,2021757434.18064,0.336,0.08349000000000001
Bermuda,2013,0.6314363997,72000.0,6465756000.0,0.953,
Bolivia,2013,0.014343572010000001,874381.0,30659338885.672935,0.3699,0.02437
Brazil,2013,0.1058915719,45038117.0,2472819535742.7266,0.5104,0.07071
Barbados,2013,0.2448774674,148735.0,4693452700.0,0.718,0.1155
Brunei Darussalam,2013,0.066934336,,18094321616.795853,0.645,0.06734
Bhutan,2013,0.02809896719,26485.0,1913162477.220792,0.22399999999999998,0.0287
Botswana,2013,0.00973716422,174165.0,14271738933.204172,0.3,0.18203
Central African Republic,2013,,800.0,1691544110.1854331,0.025,0.0556
Canada,2013,0.3449283477,16921000.0,1846597421834.9834,0.858,0.07143
Central Europe and the Baltics,2013,0.2099359790420528,24808077.0,1417557275930.6997,0.634541012148942,0.10048187090518644
Switzerland,2013,0.42506651840000004,4593321.0,706234937370.9675,0.8634000000000001,0.04747
Channel Islands,2013,,,,,0.08531000000000001
Chile,2013,0.1310781742,3347231.0,277395018837.36597,0.58,0.06361
China,2013,0.1372785101,266985000.0,9570471111831.676,0.45799999999999996,0.046
Cote d'Ivoire,2013,0.002504799,272145.0,42760235484.609314,0.066,0.04255
Cameroon,2013,0.0007812193000000001,799016.0,33728621190.416393,0.1,0.03687
"Congo, Dem. Rep.",2013,6.12578e-06,0.0,32679745048.44273,0.022000000000000002,0.04474
"Congo, Rep.",2013,9.071956000000001e-05,15679.0,17958720699.086823,0.066,0.19902
Colombia,2013,0.09813633526,7141461.0,382093697077.68494,0.517,0.09246
Comoros,2013,0.00185875732,23000.0,1116224106.8372765,0.065,0.0479
Cabo Verde,2013,0.039267326,66177.0,2028910915.1644647,0.375,0.11385999999999999
Costa Rica,2013,0.1011957546,968459.0,50949668840.86923,0.4596,0.08218
Caribbean small states,2013,0.10989129453180371,701163.0,32390809157.29226,0.4553577800866797,0.12543856147004573
Cuba,2013,0.00047343215000000003,1237276.0,77148000000.0,0.2793,0.0329
Curacao,2013,0.2227091058,63715.0,3033568603.3519554,,
Cayman Islands,2013,0.3493265993,36717.0,4405796081.159841,0.7140000000000001,
Cyprus,2013,0.2671270396,349108.0,23959708956.356323,0.654548,0.16131
Czechia,2013,0.2716395335,2001000.0,211685616592.9311,0.741104,0.06953000000000001
Germany,2013,0.3506581019,48700000.0,3733804649549.0303,0.8417,0.052309999999999995
Djibouti,2013,0.01821965047,20686.0,2042817162.8563871,0.127,0.26211
Dominica,2013,0.15500305150000002,17144.0,498296296.29629624,0.51,
Denmark,2013,0.4039548234,2094553.0,343584391647.92706,0.9462969999999999,0.07384
Dominican Republic,2013,0.051856094840000005,1171049.0,62682159338.03544,0.45899999999999996,0.07352
Algeria,2013,0.033683655629999996,3132829.0,229701430292.1566,0.225,0.09820000000000001
